,type
7423,worm
16620,trojan
11468,benign
15781,trojan
16556,trojan
15931,trojan
7650,worm
10300,benign
1952,adware
7677,worm
7432,worm
15830,trojan
10080,benign
8622,benign
12938,trojan
12043,benign
4064,adware
4267,worm
14824,trojan
5023,worm
6416,worm
7458,worm
3991,adware
1428,adware
12025,benign
10868,benign
5908,worm
6497,worm
11126,benign
13179,trojan
5556,worm
16201,trojan
9086,benign
12676,trojan
2267,adware
7514,worm
409,adware
7400,worm
9754,benign
16802,trojan
12391,benign
7844,worm
1971,adware
2924,adware
16,adware
749,adware
7389,worm
2461,adware
7805,worm
11631,benign
6207,worm
11959,benign
10781,benign
8508,benign
2131,adware
2942,adware
209,adware
6575,worm
14065,trojan
1966,adware
7601,worm
5596,worm
6743,worm
16780,trojan
5913,worm
13387,trojan
2069,adware
7476,worm
14998,trojan
14364,trojan
8234,benign
4247,worm
3956,adware
811,adware
7249,worm
8835,benign
8741,benign
2264,adware
3563,adware
1689,adware
9746,benign
1143,adware
15727,trojan
10277,benign
10925,benign
16773,trojan
15157,trojan
8399,benign
3310,adware
2386,adware
5721,worm
7335,worm
4548,worm
9955,benign
9806,benign
15355,trojan
13757,trojan
14229,trojan
1932,adware
339,adware
2206,adware
12384,benign
8937,benign
16501,trojan
2191,adware
16120,trojan
9497,benign
13959,trojan
11742,benign
15475,trojan
1508,adware
1286,adware
9127,benign
16864,trojan
6163,worm
16009,trojan
3370,adware
13657,trojan
6697,worm
13353,trojan
12924,trojan
5279,worm
3344,adware
17039,trojan
7646,worm
9941,benign
129,adware
5515,worm
16824,trojan
5538,worm
4740,worm
2619,adware
12477,benign
8275,benign
6484,worm
6187,worm
4144,worm
16101,trojan
11097,benign
8624,benign
11864,benign
4775,worm
15854,trojan
6917,worm
8288,benign
1528,adware
11281,benign
2075,adware
2485,adware
15851,trojan
6817,worm
1364,adware
14494,trojan
13525,trojan
12446,benign
12572,trojan
4067,adware
8297,benign
7213,worm
1448,adware
14292,trojan
9354,benign
5453,worm
1592,adware
16290,trojan
13997,trojan
13830,trojan
1006,adware
15214,trojan
14260,trojan
15561,trojan
10981,benign
8121,worm
2538,adware
15720,trojan
8358,benign
3770,adware
3861,adware
6197,worm
298,adware
5719,worm
442,adware
11546,benign
16327,trojan
2291,adware
13557,trojan
4312,worm
1437,adware
6403,worm
15704,trojan
3676,adware
7182,worm
19,adware
3791,adware
16867,trojan
1225,adware
5125,worm
1886,adware
12212,benign
3515,adware
10311,benign
17031,trojan
11328,benign
16686,trojan
10879,benign
14062,trojan
15985,trojan
6849,worm
1157,adware
10998,benign
14056,trojan
1436,adware
5288,worm
7995,worm
2539,adware
3336,adware
2072,adware
5643,worm
14116,trojan
13132,trojan
8876,benign
9195,benign
6290,worm
3189,adware
1577,adware
3043,adware
8861,benign
10229,benign
15563,trojan
14054,trojan
11940,benign
16308,trojan
12344,benign
9863,benign
277,adware
11661,benign
3261,adware
450,adware
7220,worm
10729,benign
38,adware
13875,trojan
14153,trojan
16207,trojan
5326,worm
10641,benign
7689,worm
9469,benign
2440,adware
7341,worm
5986,worm
15745,trojan
11463,benign
6052,worm
15268,trojan
3911,adware
6518,worm
2838,adware
5800,worm
9608,benign
15582,trojan
11139,benign
8312,benign
10445,benign
8605,benign
1894,adware
6415,worm
1672,adware
16238,trojan
11156,benign
8967,benign
11495,benign
6493,worm
4927,worm
8674,benign
12274,benign
4981,worm
3935,adware
5423,worm
2278,adware
3107,adware
9798,benign
15942,trojan
13967,trojan
1632,adware
9043,benign
16693,trojan
10749,benign
6200,worm
13448,trojan
1115,adware
11525,benign
13452,trojan
2681,adware
15819,trojan
3555,adware
505,adware
3211,adware
9490,benign
15384,trojan
16174,trojan
5105,worm
325,adware
16825,trojan
1450,adware
3056,adware
8261,benign
10411,benign
12293,benign
2160,adware
2262,adware
5982,worm
15168,trojan
16544,trojan
14545,trojan
4764,worm
14349,trojan
10099,benign
10469,benign
8292,benign
14252,trojan
14516,trojan
12390,benign
1521,adware
11321,benign
14454,trojan
9994,benign
8597,benign
507,adware
15262,trojan
3793,adware
7387,worm
12538,trojan
13102,trojan
14814,trojan
14682,trojan
2147,adware
10534,benign
13809,trojan
10679,benign
15330,trojan
2691,adware
13730,trojan
15,adware
15137,trojan
8854,benign
11094,benign
10047,benign
13738,trojan
1468,adware
6759,worm
10674,benign
4751,worm
7905,worm
12686,trojan
5476,worm
7863,worm
2693,adware
11266,benign
18,adware
15312,trojan
10308,benign
6874,worm
1603,adware
5223,worm
12164,benign
10694,benign
10667,benign
12182,benign
10812,benign
4679,worm
7029,worm
8240,benign
5199,worm
6188,worm
7980,worm
6948,worm
8537,benign
15553,trojan
6969,worm
7099,worm
732,adware
3522,adware
10924,benign
9800,benign
5895,worm
16386,trojan
10310,benign
4444,worm
155,adware
11818,benign
2526,adware
6617,worm
1384,adware
9317,benign
13198,trojan
7591,worm
6914,worm
8418,benign
1608,adware
4966,worm
1677,adware
10524,benign
109,adware
3729,adware
146,adware
5165,worm
3780,adware
8208,benign
3297,adware
7754,worm
8539,benign
4968,worm
8676,benign
16681,trojan
11503,benign
12958,trojan
969,adware
6407,worm
9738,benign
10415,benign
745,adware
40,adware
1829,adware
4154,worm
6770,worm
13573,trojan
11224,benign
5586,worm
8256,benign
14887,trojan
11276,benign
5750,worm
5498,worm
11655,benign
10268,benign
1288,adware
1578,adware
10086,benign
6809,worm
5155,worm
7564,worm
14369,trojan
14907,trojan
13175,trojan
9205,benign
9808,benign
13185,trojan
1369,adware
9208,benign
5257,worm
14752,trojan
8738,benign
2436,adware
8812,benign
8897,benign
3601,adware
8859,benign
9480,benign
2216,adware
10759,benign
10709,benign
10764,benign
1858,adware
11642,benign
8001,worm
15395,trojan
16025,trojan
11807,benign
8806,benign
1204,adware
11886,benign
8826,benign
12365,benign
586,adware
6729,worm
7842,worm
5058,worm
11539,benign
8965,benign
788,adware
11411,benign
5751,worm
15107,trojan
6869,worm
4262,worm
9583,benign
11106,benign
1435,adware
5603,worm
8491,benign
3755,adware
9693,benign
5902,worm
594,adware
13914,trojan
4301,worm
12543,trojan
990,adware
14871,trojan
9525,benign
13994,trojan
2543,adware
72,adware
3165,adware
11314,benign
10852,benign
15514,trojan
8214,benign
16945,trojan
4055,adware
6252,worm
16370,trojan
8667,benign
8694,benign
9176,benign
13742,trojan
8087,worm
8768,benign
15839,trojan
10124,benign
3101,adware
960,adware
3321,adware
1741,adware
10034,benign
902,adware
10437,benign
2293,adware
12462,benign
7880,worm
2483,adware
6937,worm
11398,benign
16156,trojan
13100,trojan
524,adware
1302,adware
11970,benign
15075,trojan
6343,worm
2615,adware
15181,trojan
6111,worm
11184,benign
471,adware
2638,adware
3201,adware
3655,adware
2391,adware
11880,benign
2210,adware
12944,trojan
10715,benign
428,adware
10404,benign
15843,trojan
12143,benign
14199,trojan
12574,trojan
7159,worm
14558,trojan
6567,worm
10455,benign
7658,worm
7729,worm
13662,trojan
157,adware
10848,benign
13915,trojan
15489,trojan
15791,trojan
2354,adware
1929,adware
15769,trojan
1975,adware
2183,adware
5863,worm
12970,trojan
11960,benign
3775,adware
11395,benign
10014,benign
6681,worm
15160,trojan
13334,trojan
2745,adware
16743,trojan
9063,benign
16679,trojan
104,adware
16950,trojan
8716,benign
8137,worm
4850,worm
12962,trojan
14166,trojan
655,adware
3763,adware
5162,worm
6325,worm
5194,worm
440,adware
7709,worm
3953,adware
8273,benign
3382,adware
4405,worm
1392,adware
5503,worm
11487,benign
12660,trojan
13059,trojan
11787,benign
4993,worm
6349,worm
10012,benign
1893,adware
4190,worm
13810,trojan
14948,trojan
15112,trojan
12448,benign
9932,benign
11762,benign
2229,adware
3816,adware
15285,trojan
14534,trojan
13563,trojan
5576,worm
6020,worm
12106,benign
12324,benign
14919,trojan
15799,trojan
4104,adware
3484,adware
12052,benign
15111,trojan
9278,benign
16895,trojan
5600,worm
12775,trojan
15890,trojan
478,adware
16871,trojan
1967,adware
11623,benign
1251,adware
15947,trojan
2968,adware
12376,benign
8973,benign
7887,worm
10473,benign
976,adware
13636,trojan
4337,worm
5490,worm
12100,benign
6053,worm
11337,benign
12644,trojan
4915,worm
7910,worm
11853,benign
13437,trojan
10018,benign
3943,adware
1020,adware
4399,worm
3334,adware
355,adware
11080,benign
16453,trojan
5968,worm
11093,benign
2219,adware
13206,trojan
8535,benign
1478,adware
16789,trojan
16021,trojan
13952,trojan
12375,benign
4802,worm
16701,trojan
3110,adware
12190,benign
9898,benign
7063,worm
12138,benign
9491,benign
7535,worm
8834,benign
11926,benign
8205,worm
3374,adware
13145,trojan
15279,trojan
9384,benign
5427,worm
4781,worm
15176,trojan
14723,trojan
13139,trojan
8981,benign
10051,benign
16924,trojan
16105,trojan
6261,worm
6690,worm
14592,trojan
2246,adware
1951,adware
14643,trojan
5435,worm
6185,worm
10158,benign
9475,benign
15915,trojan
6318,worm
9735,benign
13415,trojan
9099,benign
9895,benign
12808,trojan
8502,benign
16364,trojan
521,adware
10025,benign
10527,benign
9582,benign
10769,benign
254,adware
77,adware
3057,adware
1017,adware
1373,adware
15702,trojan
6531,worm
10552,benign
11378,benign
4086,adware
16418,trojan
16055,trojan
16527,trojan
11560,benign
2317,adware
4122,adware
11684,benign
221,adware
3904,adware
3230,adware
16281,trojan
9881,benign
3200,adware
5241,worm
11318,benign
8753,benign
2757,adware
5190,worm
3505,adware
16870,trojan
16400,trojan
2977,adware
14291,trojan
3109,adware
10696,benign
2938,adware
16181,trojan
5516,worm
5537,worm
933,adware
964,adware
3160,adware
585,adware
618,adware
13202,trojan
1097,adware
1061,adware
9375,benign
10470,benign
16969,trojan
1372,adware
13163,trojan
4529,worm
4501,worm
5602,worm
10394,benign
14384,trojan
13253,trojan
11363,benign
7167,worm
12453,benign
2274,adware
5312,worm
8484,benign
7666,worm
1810,adware
13600,trojan
6381,worm
302,adware
9449,benign
15338,trojan
6517,worm
14820,trojan
243,adware
9556,benign
6070,worm
1610,adware
5156,worm
7196,worm
4237,worm
8825,benign
14955,trojan
9681,benign
14751,trojan
9488,benign
1561,adware
2181,adware
11904,benign
4233,worm
10200,benign
12986,trojan
10318,benign
8696,benign
8268,benign
8251,benign
13272,trojan
15354,trojan
15620,trojan
5035,worm
16067,trojan
2623,adware
14580,trojan
14959,trojan
5005,worm
7499,worm
6047,worm
15318,trojan
1119,adware
995,adware
1455,adware
4156,worm
8043,worm
13920,trojan
12794,trojan
14275,trojan
4003,adware
13938,trojan
7949,worm
6418,worm
4061,adware
2059,adware
2497,adware
10241,benign
14622,trojan
5044,worm
907,adware
5465,worm
14568,trojan
2282,adware
3468,adware
1407,adware
15718,trojan
14770,trojan
896,adware
5704,worm
13382,trojan
5007,worm
6330,worm
12546,trojan
7206,worm
7395,worm
9059,benign
31,adware
5217,worm
6606,worm
100,adware
3913,adware
7533,worm
12192,benign
9389,benign
11862,benign
2429,adware
8577,benign
15831,trojan
2554,adware
13018,trojan
6241,worm
8374,benign
3304,adware
5376,worm
8246,benign
6960,worm
6486,worm
4849,worm
8294,benign
6994,worm
8025,worm
4343,worm
10501,benign
10509,benign
4499,worm
1818,adware
12577,trojan
2748,adware
13037,trojan
6805,worm
5137,worm
5756,worm
506,adware
10474,benign
10783,benign
11635,benign
13081,trojan
6466,worm
3821,adware
14272,trojan
11797,benign
3961,adware
3325,adware
2788,adware
15766,trojan
12422,benign
1703,adware
8866,benign
14527,trojan
9721,benign
437,adware
15577,trojan
11033,benign
15468,trojan
9150,benign
5474,worm
3735,adware
15963,trojan
7532,worm
5201,worm
7397,worm
2733,adware
4160,worm
4290,worm
8872,benign
6911,worm
12368,benign
6283,worm
16466,trojan
5205,worm
9548,benign
225,adware
11114,benign
14738,trojan
7014,worm
2661,adware
8988,benign
11991,benign
9640,benign
15340,trojan
3862,adware
12222,benign
9637,benign
11230,benign
2006,adware
15373,trojan
5683,worm
307,adware
11627,benign
6844,worm
6118,worm
9866,benign
15715,trojan
12347,benign
2315,adware
3578,adware
4152,worm
13459,trojan
12256,benign
15917,trojan
11272,benign
15841,trojan
6266,worm
7696,worm
2583,adware
3513,adware
3536,adware
12600,trojan
10946,benign
8428,benign
7285,worm
8101,worm
8887,benign
8606,benign
11624,benign
13593,trojan
15020,trojan
10085,benign
136,adware
4820,worm
5323,worm
14084,trojan
14671,trojan
9450,benign
8460,benign
12696,trojan
15117,trojan
11782,benign
16143,trojan
5888,worm
7648,worm
7237,worm
5582,worm
12861,trojan
11256,benign
4924,worm
14181,trojan
4844,worm
13819,trojan
7747,worm
2709,adware
11813,benign
17076,trojan
9402,benign
17075,trojan
8414,benign
2225,adware
4773,worm
11977,benign
12995,trojan
11133,benign
13044,trojan
12759,trojan
13633,trojan
11145,benign
10517,benign
10421,benign
996,adware
15688,trojan
10596,benign
1654,adware
10361,benign
12491,benign
8519,benign
12638,trojan
3869,adware
10472,benign
2476,adware
16973,trojan
6842,worm
9243,benign
13338,trojan
13092,trojan
8498,benign
15077,trojan
14662,trojan
3447,adware
16922,trojan
10762,benign
14300,trojan
12188,benign
1660,adware
4629,worm
5659,worm
9072,benign
9080,benign
11887,benign
11563,benign
5796,worm
7494,worm
8107,worm
12684,trojan
1630,adware
529,adware
10693,benign
15877,trojan
14585,trojan
14351,trojan
12285,benign
10822,benign
1633,adware
11263,benign
3537,adware
13256,trojan
13802,trojan
1751,adware
12633,trojan
447,adware
11424,benign
13323,trojan
8693,benign
2002,adware
11577,benign
2908,adware
10313,benign
15694,trojan
6320,worm
5690,worm
5848,worm
14631,trojan
8050,worm
6851,worm
375,adware
1620,adware
8578,benign
6680,worm
6761,worm
10961,benign
10356,benign
5693,worm
15413,trojan
8189,worm
14425,trojan
2600,adware
13511,trojan
14733,trojan
8848,benign
12353,benign
5139,worm
13006,trojan
11889,benign
5999,worm
9823,benign
1232,adware
10888,benign
4572,worm
8037,worm
3288,adware
7918,worm
3623,adware
12214,benign
13108,trojan
3315,adware
3720,adware
14379,trojan
1111,adware
12830,trojan
10339,benign
3863,adware
6072,worm
14648,trojan
14826,trojan
3347,adware
9520,benign
2411,adware
7931,worm
8756,benign
14168,trojan
11550,benign
7693,worm
12148,benign
9163,benign
13278,trojan
15161,trojan
7818,worm
16273,trojan
16266,trojan
16763,trojan
13042,trojan
6101,worm
14942,trojan
12421,benign
5141,worm
8904,benign
1049,adware
13620,trojan
4586,worm
10713,benign
2344,adware
10201,benign
7450,worm
12683,trojan
8711,benign
6984,worm
2473,adware
13826,trojan
14515,trojan
15096,trojan
9374,benign
8914,benign
3983,adware
13591,trojan
1717,adware
1071,adware
15083,trojan
14771,trojan
4824,worm
10809,benign
9989,benign
12304,benign
737,adware
12037,benign
3746,adware
16883,trojan
15391,trojan
332,adware
7448,worm
16295,trojan
12814,trojan
11257,benign
9554,benign
12267,benign
680,adware
13045,trojan
11756,benign
6315,worm
5085,worm
5070,worm
11595,benign
13395,trojan
13846,trojan
3519,adware
12691,trojan
12860,trojan
9293,benign
15416,trojan
1370,adware
14403,trojan
6565,worm
3636,adware
12095,benign
3499,adware
10272,benign
5680,worm
211,adware
11002,benign
13343,trojan
8757,benign
598,adware
7575,worm
16056,trojan
8698,benign
10349,benign
3340,adware
10267,benign
7163,worm
14791,trojan
4772,worm
6172,worm
7392,worm
16298,trojan
8935,benign
3292,adware
4914,worm
8685,benign
3118,adware
6378,worm
8736,benign
9023,benign
13560,trojan
9827,benign
13892,trojan
13110,trojan
8619,benign
15934,trojan
7257,worm
8979,benign
2070,adware
2736,adware
9006,benign
3951,adware
2174,adware
3666,adware
2437,adware
5808,worm
9527,benign
3412,adware
8647,benign
11315,benign
4916,worm
5430,worm
3742,adware
8059,worm
5834,worm
6928,worm
13907,trojan
10753,benign
8495,benign
9836,benign
549,adware
1634,adware
7275,worm
7101,worm
7281,worm
13807,trojan
4166,worm
15294,trojan
5246,worm
11374,benign
4182,worm
12189,benign
10439,benign
11699,benign
16337,trojan
13747,trojan
15865,trojan
754,adware
8401,benign
2322,adware
1509,adware
728,adware
13121,trojan
2308,adware
115,adware
9723,benign
1628,adware
9404,benign
3026,adware
1890,adware
1512,adware
10305,benign
6620,worm
2150,adware
15451,trojan
3596,adware
1492,adware
611,adware
9451,benign
13220,trojan
3224,adware
17061,trojan
4439,worm
11734,benign
12801,trojan
7841,worm
8895,benign
7157,worm
8446,benign
5049,worm
8589,benign
16341,trojan
9593,benign
10172,benign
14476,trojan
12172,benign
12723,trojan
312,adware
10632,benign
4168,worm
3776,adware
7319,worm
11090,benign
2794,adware
6907,worm
13570,trojan
14002,trojan
8567,benign
12835,trojan
9742,benign
4140,worm
8785,benign
13966,trojan
11890,benign
8194,worm
2809,adware
8941,benign
7052,worm
1788,adware
13992,trojan
674,adware
14574,trojan
15697,trojan
7105,worm
3679,adware
4251,worm
14075,trojan
10263,benign
14112,trojan
2339,adware
9211,benign
6814,worm
12516,benign
8926,benign
5527,worm
7917,worm
14039,trojan
9424,benign
13825,trojan
3079,adware
11553,benign
2109,adware
14793,trojan
10771,benign
3463,adware
3716,adware
14321,trojan
10333,benign
12334,benign
9076,benign
11181,benign
16355,trojan
11459,benign
2124,adware
3593,adware
7688,worm
14307,trojan
7427,worm
898,adware
12066,benign
9185,benign
9888,benign
16150,trojan
2415,adware
11957,benign
10377,benign
9330,benign
5259,worm
4578,worm
3208,adware
5696,worm
10237,benign
5071,worm
4675,worm
14224,trojan
8335,benign
12827,trojan
6999,worm
3759,adware
13811,trojan
7286,worm
12674,trojan
12096,benign
9684,benign
16610,trojan
7344,worm
6943,worm
2333,adware
1031,adware
464,adware
2511,adware
2695,adware
2424,adware
3873,adware
5477,worm
10831,benign
605,adware
8665,benign
10811,benign
15080,trojan
10896,benign
11431,benign
7006,worm
1300,adware
4208,worm
11149,benign
15269,trojan
1769,adware
4970,worm
11324,benign
11685,benign
3802,adware
48,adware
16615,trojan
2683,adware
9812,benign
1851,adware
5408,worm
9619,benign
3154,adware
6798,worm
15997,trojan
15003,trojan
8996,benign
13893,trojan
16052,trojan
8669,benign
11336,benign
7895,worm
13953,trojan
195,adware
3765,adware
15093,trojan
3139,adware
522,adware
11383,benign
9026,benign
3495,adware
8660,benign
3984,adware
15182,trojan
15052,trojan
16612,trojan
12016,benign
7227,worm
8466,benign
2900,adware
11579,benign
4447,worm
5383,worm
1126,adware
13869,trojan
10850,benign
6730,worm
13238,trojan
1673,adware
1406,adware
6206,worm
3581,adware
13112,trojan
15929,trojan
16948,trojan
1589,adware
11523,benign
15524,trojan
10094,benign
2452,adware
6891,worm
4093,adware
11425,benign
15862,trojan
9676,benign
16975,trojan
13471,trojan
13171,trojan
4286,worm
13841,trojan
9679,benign
6000,worm
3149,adware
13141,trojan
15976,trojan
16176,trojan
3003,adware
11521,benign
7018,worm
3166,adware
13237,trojan
15965,trojan
15804,trojan
3907,adware
4588,worm
2947,adware
12637,trojan
8831,benign
5172,worm
12426,benign
1649,adware
10914,benign
5605,worm
4674,worm
3339,adware
11157,benign
751,adware
5107,worm
15911,trojan
15545,trojan
1812,adware
1420,adware
7670,worm
7198,worm
6016,worm
8267,benign
10120,benign
5268,worm
14875,trojan
205,adware
5200,worm
5184,worm
16567,trojan
5047,worm
4453,worm
4982,worm
13016,trojan
5523,worm
8769,benign
11727,benign
10298,benign
3894,adware
12829,trojan
16939,trojan
11024,benign
2732,adware
5415,worm
14876,trojan
1705,adware
15345,trojan
13007,trojan
4750,worm
15228,trojan
7509,worm
14169,trojan
11245,benign
1095,adware
16324,trojan
8505,benign
866,adware
2945,adware
8097,worm
10711,benign
13678,trojan
2829,adware
5893,worm
5119,worm
4780,worm
132,adware
14905,trojan
8951,benign
8783,benign
10422,benign
2332,adware
2110,adware
5722,worm
13649,trojan
16102,trojan
14548,trojan
1617,adware
8809,benign
11191,benign
13527,trojan
11826,benign
14098,trojan
11284,benign
3595,adware
8253,benign
14478,trojan
14566,trojan
4031,adware
3665,adware
5178,worm
13651,trojan
15628,trojan
6998,worm
16954,trojan
1736,adware
227,adware
10181,benign
13416,trojan
6371,worm
3465,adware
14330,trojan
1808,adware
14493,trojan
4696,worm
12165,benign
14380,trojan
905,adware
1999,adware
10872,benign
5993,worm
15893,trojan
13973,trojan
1599,adware
8044,worm
13295,trojan
1904,adware
13051,trojan
3723,adware
14283,trojan
8006,worm
7482,worm
14718,trojan
989,adware
1,adware
13197,trojan
10538,benign
8819,benign
3670,adware
3858,adware
10434,benign
8604,benign
7718,worm
9801,benign
1764,adware
16648,trojan
7779,worm
9604,benign
4161,worm
15717,trojan
9560,benign
7456,worm
15920,trojan
10963,benign
14539,trojan
15503,trojan
6165,worm
9878,benign
6135,worm
11845,benign
12959,trojan
12403,benign
5623,worm
6120,worm
5579,worm
15070,trojan
12819,trojan
15270,trojan
2084,adware
3327,adware
364,adware
15324,trojan
12811,trojan
12689,trojan
4111,adware
6080,worm
9130,benign
16873,trojan
1843,adware
9341,benign
8379,benign
14203,trojan
16830,trojan
2881,adware
9991,benign
8113,worm
10468,benign
5655,worm
12215,benign
1493,adware
5192,worm
7020,worm
12461,benign
9896,benign
11329,benign
4907,worm
7657,worm
8183,worm
879,adware
1771,adware
10970,benign
9690,benign
5308,worm
13571,trojan
3260,adware
3218,adware
4024,adware
3346,adware
9734,benign
11430,benign
3603,adware
11174,benign
7990,worm
12305,benign
14972,trojan
13751,trojan
958,adware
7783,worm
5945,worm
836,adware
10581,benign
3459,adware
6133,worm
13321,trojan
8131,worm
11421,benign
2172,adware
4941,worm
2024,adware
14625,trojan
15016,trojan
8705,benign
2234,adware
9668,benign
245,adware
4050,adware
13451,trojan
636,adware
13729,trojan
8110,worm
2864,adware
14884,trojan
8149,worm
14376,trojan
9851,benign
15299,trojan
2306,adware
11348,benign
7144,worm
10519,benign
2370,adware
16910,trojan
13847,trojan
6795,worm
5249,worm
5551,worm
8329,benign
5557,worm
13666,trojan
13055,trojan
16713,trojan
8770,benign
12176,benign
2441,adware
11151,benign
3967,adware
7954,worm
8991,benign
11352,benign
10091,benign
3801,adware
15018,trojan
6535,worm
2363,adware
4736,worm
13411,trojan
15578,trojan
8296,benign
13498,trojan
7276,worm
10917,benign
7697,worm
3247,adware
1145,adware
202,adware
13641,trojan
15943,trojan
8370,benign
3797,adware
3987,adware
4132,worm
16721,trojan
3928,adware
1853,adware
1515,adware
8776,benign
2626,adware
9561,benign
1216,adware
16691,trojan
16489,trojan
7788,worm
16454,trojan
16728,trojan
14387,trojan
386,adware
11000,benign
17041,trojan
6443,worm
15612,trojan
15951,trojan
13940,trojan
14698,trojan
7160,worm
5619,worm
15696,trojan
4516,worm
13203,trojan
12675,trojan
12339,benign
13793,trojan
16765,trojan
3203,adware
14940,trojan
8030,worm
14804,trojan
910,adware
2983,adware
17068,trojan
880,adware
10046,benign
10651,benign
7299,worm
4243,worm
13698,trojan
11320,benign
5880,worm
14045,trojan
15419,trojan
15993,trojan
13367,trojan
13054,trojan
13833,trojan
560,adware
756,adware
15822,trojan
15302,trojan
474,adware
2392,adware
639,adware
14765,trojan
8165,worm
5891,worm
68,adware
13936,trojan
8188,worm
3282,adware
6451,worm
9210,benign
2286,adware
14340,trojan
12733,trojan
1086,adware
4798,worm
10560,benign
9296,benign
5306,worm
5499,worm
9021,benign
9649,benign
15778,trojan
6174,worm
1374,adware
11590,benign
10712,benign
16094,trojan
9871,benign
15108,trojan
7255,worm
1712,adware
9705,benign
14607,trojan
10866,benign
5984,worm
6136,worm
4899,worm
9284,benign
14473,trojan
14049,trojan
13314,trojan
5420,worm
11204,benign
4204,worm
15948,trojan
1949,adware
6641,worm
13713,trojan
5460,worm
8832,benign
11251,benign
12308,benign
9192,benign
11166,benign
12179,benign
12764,trojan
11160,benign
4838,worm
6825,worm
16706,trojan
13463,trojan
13360,trojan
8368,benign
2776,adware
2858,adware
4068,adware
15170,trojan
13369,trojan
10374,benign
1032,adware
7699,worm
5809,worm
337,adware
16591,trojan
7946,worm
13254,trojan
847,adware
14734,trojan
14055,trojan
14086,trojan
16535,trojan
10134,benign
5068,worm
1862,adware
13074,trojan
13431,trojan
15880,trojan
13276,trojan
14637,trojan
2520,adware
10978,benign
6444,worm
15236,trojan
8242,benign
9221,benign
10492,benign
6190,worm
7686,worm
2708,adware
15490,trojan
7662,worm
4012,adware
16709,trojan
9142,benign
3968,adware
6287,worm
535,adware
5831,worm
267,adware
3766,adware
13027,trojan
851,adware
13442,trojan
14394,trojan
489,adware
4919,worm
16604,trojan
8100,worm
2449,adware
8068,worm
16623,trojan
8905,benign
2540,adware
13816,trojan
2951,adware
4811,worm
9353,benign
3194,adware
